Landmarks,1973,v1.0,(mm),,,,,
#,Name,Type,X,Y,Z,NX,NY,NZ
183,Vomer_Palatine_LEFT_1.9.04,normal,-4.87E+00,3.48E+00,-1.34E+01,2.25E-01,3.27E-02,-9.74E-01
184,Vomer_Palatine_LEFT_1.9.05,normal,-4.99E+00,3.41E+00,-1.34E+01,-2.12E-01,-1.18E-01,-9.70E-01
185,Vomer_Palatine_LEFT_1.9.06,normal,-5.10E+00,3.33E+00,-1.33E+01,-2.06E-01,1.16E-01,-9.72E-01
186,Vomer_Palatine_LEFT_1.9.07,normal,-5.22E+00,3.27E+00,-1.33E+01,-9.79E-02,2.10E-01,-9.73E-01
187,Vomer_Palatine_LEFT_1.9.08,normal,-5.39E+00,3.22E+00,-1.33E+01,-2.21E-01,4.03E-01,-8.88E-01
188,Vomer_Palatine_LEFT_1.9.09,normal,-5.56E+00,3.18E+00,-1.33E+01,-4.34E-01,5.28E-01,-7.30E-01
189,Vomer_Palatine_LEFT_1.9.10,normal,-5.74E+00,3.15E+00,-1.32E+01,-7.07E-02,6.37E-01,-7.68E-01
190,Vomer_Palatine_LEFT_1.9.11,normal,-5.85E+00,3.13E+00,-1.32E+01,-4.18E-01,4.40E-02,-9.07E-01
191,Vomer_Palatine_LEFT_1.9.12,normal,-5.96E+00,3.11E+00,-1.32E+01,-3.39E-01,4.79E-01,-8.09E-01
192,Vomer_Palatine_LEFT_1.9.13,normal,-6.05E+00,3.08E+00,-1.32E+01,-5.23E-01,1.73E-01,-8.34E-01
193,Vomer_Palatine_LEFT_1.9.14,normal,-6.17E+00,3.11E+00,-1.33E+01,3.21E-01,7.11E-01,-6.26E-01
194,Vomer_Palatine_LEFT_1.9.15,normal,-6.31E+00,3.16E+00,-1.33E+01,3.32E-01,1.80E-02,-9.43E-01
195,Vomer_Palatine_LEFT_1.9.16,normal,-6.44E+00,3.23E+00,-1.33E+01,4.28E-01,-1.61E-01,-8.89E-01
196,Vomer_Palatine_LEFT_1.9.17,normal,-6.49E+00,3.30E+00,-1.33E+01,1.65E-02,3.23E-01,-9.46E-01
197,Vomer_Palatine_LEFT_1.9.18,normal,-6.55E+00,3.37E+00,-1.33E+01,6.14E-01,6.58E-01,-4.37E-01
198,Vomer_Palatine_LEFT_1.9.19,normal,-6.61E+00,3.43E+00,-1.33E+01,5.24E-01,7.25E-01,-4.47E-01
199,Vomer_Palatine_LEFT_1.9.20,normal,-6.74E+00,3.49E+00,-1.33E+01,2.59E-01,2.25E-02,-9.66E-01
200,Vomer_Palatine_LEFT_1.9.21,normal,-6.70E+00,3.59E+00,-1.34E+01,6.16E-01,-4.14E-01,-6.70E-01
201,Vomer_Palatine_LEFT_1.9.22,normal,-6.69E+00,3.71E+00,-1.34E+01,3.64E-01,-7.32E-01,-5.75E-01
202,Vomer_Palatine_LEFT_1.9.23,normal,-6.64E+00,3.79E+00,-1.35E+01,3.51E-01,-6.11E-01,-7.10E-01
203,Vomer_Palatine_LEFT_1.9.24,normal,-6.57E+00,3.85E+00,-1.36E+01,2.02E-01,-8.23E-01,-5.30E-01
204,Vomer_Palatine_LEFT_1.9.25,normal,-6.47E+00,3.91E+00,-1.36E+01,2.12E-01,-4.53E-01,-8.66E-01
